record_id,budget_level,travellers,transport_mode,route_distance_km,public_transport_coverage,estimated_transport_cost_lkr,data_origin
18653,MID,13,Van - Uber/PickMe,475.01,0.0,82767.1,reference-derived scenario
18654,LOW,10,Public transport + Van - Uber/PickMe,131.69,0.65,12861.72,reference-derived scenario
18655,HIGH,8,Van - Uber/PickMe,887.28,0.0,150099.9,reference-derived scenario
18656,MID,2,Public transport + Van - Uber/PickMe,548.13,0.892,15612.58,reference-derived scenario
18657,LOW,4,Public transport + Van - Uber/PickMe,572.28,0.724,38588.51,reference-derived scenario
18658,MID,20,2 Vans - Uber/PickMe,231.54,0.0,85609.01,reference-derived scenario
18659,HIGH,20,2 Vans - Uber/PickMe,585.29,0.0,208553.7,reference-derived scenario
18660,LOW,14,Public transport + 2 Minivans - Uber/PickMe,497.17,0.858,42864.77,reference-derived scenario
18661,HIGH,10,Van - Uber/PickMe,607.67,0.0,116197.37,reference-derived scenario
18662,LOW,16,Public transport + 2 Vans - Uber/PickMe,916.62,0.719,153193.8,reference-derived scenario
18663,MID,8,Public transport + Van - Uber/PickMe,683.27,0.685,57993.1,reference-derived scenario
18664,LOW,6,Public transport + Van - Uber/PickMe,154.45,0.498,18655.81,reference-derived scenario
18665,HIGH,3,Van - Uber/PickMe,864.97,0.0,145637.08,reference-derived scenario
18666,HIGH,18,Public transport + 2 Vans - Uber/PickMe,935.4,0.505,214810.8,reference-derived scenario
18667,HIGH,3,Public transport + Minivan - Uber/PickMe,343.42,0.889,9206.26,reference-derived scenario
18668,LOW,8,Public transport + Van - Uber/PickMe,310.1,0.6,28906.59,reference-derived scenario
18669,LOW,19,Public transport + 2 Vans - Uber/PickMe,610.97,0.561,118491.8,reference-derived scenario
18670,LOW,17,Public transport + 2 Vans - Uber/PickMe,795.79,0.598,152596.99,reference-derived scenario
18671,MID,15,Van - Uber/PickMe,747.81,0.0,125250.71,reference-derived scenario
18672,LOW,17,Public transport + 2 Vans - Uber/PickMe,134.11,0.925,17288.17,reference-derived scenario
18673,MID,16,2 Vans - Uber/PickMe,203.09,0.0,71939.38,reference-derived scenario
18674,HIGH,17,Public transport + 2 Vans - Uber/PickMe,296.96,0.533,70468.21,reference-derived scenario
18675,MID,12,Van - Uber/PickMe,51.01,0.0,9708.52,reference-derived scenario
18676,HIGH,2,Private driver + Tuk,46.92,0.0,4489.8,reference-derived scenario
18677,MID,17,Public transport + 2 Vans - Uber/PickMe,768.37,0.7,133600.18,reference-derived scenario
18678,LOW,16,Public transport + 2 Vans - Uber/PickMe,749.49,0.456,180852.4,reference-derived scenario
18679,HIGH,5,Public transport + Minivan - Uber/PickMe,65.78,0.455,6052.03,reference-derived scenario
18680,MID,17,2 Vans - Uber/PickMe,118.29,0.0,46953.89,reference-derived scenario
18681,MID,13,Van - Uber/PickMe,488.96,0.0,90145.64,reference-derived scenario
18682,LOW,19,Public transport + 2 Vans - Uber/PickMe,823.05,0.899,96463.91,reference-derived scenario
18683,MID,17,2 Vans - Uber/PickMe,522.1,0.0,171176.8,reference-derived scenario
18684,LOW,9,Public transport + Van - Uber/PickMe,198.7,0.356,25513.68,reference-derived scenario
18685,LOW,5,Public transport + Minivan - Uber/PickMe,789.49,0.584,51494.49,reference-derived scenario
18686,LOW,10,Public transport + Van - Uber/PickMe,2.21,0.547,1862.78,reference-derived scenario
18687,MID,10,Van - Uber/PickMe,283.1,0.0,54986.97,reference-derived scenario
18688,MID,5,Public transport + Minivan - Uber/PickMe,372.17,0.792,17272.38,reference-derived scenario
18689,MID,20,2 Vans - Uber/PickMe,126.75,0.0,48466.95,reference-derived scenario
18690,HIGH,9,Private driver + Van,808.11,0.0,152674.5,reference-derived scenario
18691,LOW,17,Public transport + 2 Vans - Uber/PickMe,331.43,0.45,77121.26,reference-derived scenario
18692,MID,14,2 Minivans - Uber/PickMe,598.94,0.0,146629.3,reference-derived scenario
18693,MID,1,Tuk/Taxi - Uber/PickMe,161.81,0.0,12180.05,reference-derived scenario
18694,HIGH,9,Private driver + Van,115.18,0.0,21247.65,reference-derived scenario
18695,MID,13,Public transport + Van - Uber/PickMe,638.59,0.646,70283.08,reference-derived scenario
18696,HIGH,5,Van - Uber/PickMe,311.55,0.0,53116.72,reference-derived scenario
18697,HIGH,20,Public transport + 2 Vans - Uber/PickMe,924.8,0.435,225050.76,reference-derived scenario
18698,MID,18,Public transport + 2 Vans - Uber/PickMe,220.08,0.657,44260.61,reference-derived scenario
18699,LOW,18,Public transport + 2 Vans - Uber/PickMe,522.16,0.759,74920.13,reference-derived scenario
18700,LOW,6,Public transport + Van - Uber/PickMe,830.21,0.585,80758.75,reference-derived scenario
18701,HIGH,2,Public transport + Van - Uber/PickMe,590.64,0.932,12470.39,reference-derived scenario
18702,MID,19,2 Vans - Uber/PickMe,321.95,0.0,123009.67,reference-derived scenario
18703,MID,1,Minivan - Uber/PickMe,450.88,0.0,53772.01,reference-derived scenario
18704,LOW,11,Public transport + Van - Uber/PickMe,323.16,0.366,43158.3,reference-derived scenario
18705,MID,20,2 Vans - Uber/PickMe,42.61,0.0,17242.75,reference-derived scenario
18706,LOW,10,Public transport + Van - Uber/PickMe,5.64,0.844,2240.58,reference-derived scenario
18707,LOW,15,Public transport + Van - Uber/PickMe,299.91,0.834,28970.38,reference-derived scenario
18708,MID,14,Public transport + 2 Minivans - Uber/PickMe,680.04,0.902,54333.93,reference-derived scenario
18709,MID,11,Public transport + Van - Uber/PickMe,76.07,0.365,11172.04,reference-derived scenario
18710,LOW,4,Public transport + Minivan - Uber/PickMe,884.8,0.716,42773.97,reference-derived scenario
18711,MID,4,Van - Uber/PickMe,776.32,0.0,143915.63,reference-derived scenario
18712,LOW,13,Public transport + Van - Uber/PickMe,312.24,0.521,39808.16,reference-derived scenario
18713,MID,3,Public transport + Tuk/Taxi,949.7,0.649,38651.62,reference-derived scenario
18714,LOW,15,Public transport + Van - Uber/PickMe,301.11,0.644,32803.16,reference-derived scenario
18715,HIGH,8,Private driver + Van,820.11,0.0,138045.89,reference-derived scenario
18716,HIGH,11,Van - Uber/PickMe,585.05,0.0,99003.16,reference-derived scenario
18717,LOW,7,Public transport + Van - Uber/PickMe,712.32,0.431,86602.67,reference-derived scenario
18718,MID,3,Public transport + Tuk/Taxi,421.12,0.881,8839.22,reference-derived scenario
18719,MID,4,Van - Uber/PickMe,621.22,0.0,102875.62,reference-derived scenario
18720,LOW,10,Public transport + Van - Uber/PickMe,937.93,0.54,108568.02,reference-derived scenario
18721,MID,11,Public transport + Van - Uber/PickMe,194.14,0.757,16524.68,reference-derived scenario
18722,MID,8,Public transport + Van - Uber/PickMe,75.47,0.747,7547.42,reference-derived scenario
18723,MID,20,Public transport + 2 Vans - Uber/PickMe,498.1,0.944,61876.54,reference-derived scenario
18724,HIGH,3,Van - Uber/PickMe,57.03,0.0,11126.54,reference-derived scenario
18725,LOW,12,Public transport + Van - Uber/PickMe,189.74,0.632,22296.53,reference-derived scenario
18726,LOW,2,Public transport + Tuk/Taxi,584.64,0.385,33800.8,reference-derived scenario
18727,LOW,3,Public transport + Minivan - Uber/PickMe,434.71,0.41,33075.97,reference-derived scenario
18728,MID,7,Public transport + Van - Uber/PickMe,318.22,0.768,22669.96,reference-derived scenario
18729,HIGH,16,2 Vans - Uber/PickMe,68.88,0.0,26739.21,reference-derived scenario
18730,LOW,12,Public transport + Van - Uber/PickMe,277.0,0.401,40227.79,reference-derived scenario
18731,LOW,2,Public transport + Minivan - Uber/PickMe,402.29,0.884,9916.72,reference-derived scenario
18732,MID,16,Public transport + 2 Vans - Uber/PickMe,217.51,0.441,52031.01,reference-derived scenario
18733,MID,9,Public transport + Van - Uber/PickMe,529.65,0.585,55747.4,reference-derived scenario
18734,MID,18,Public transport + 2 Vans - Uber/PickMe,239.67,0.698,44659.11,reference-derived scenario
18735,MID,10,Van - Uber/PickMe,834.22,0.0,142362.44,reference-derived scenario
18736,MID,17,Public transport + 2 Vans - Uber/PickMe,288.84,0.947,28458.71,reference-derived scenario
18737,HIGH,15,Van - Uber/PickMe,35.48,0.0,7262.44,reference-derived scenario
18738,MID,11,Public transport + Van - Uber/PickMe,336.2,0.93,22094.13,reference-derived scenario
18739,HIGH,5,Private driver + Minivan,233.26,0.0,25842.85,reference-derived scenario
18740,MID,10,Public transport + Van - Uber/PickMe,738.12,0.902,47743.5,reference-derived scenario
18741,HIGH,3,Tuk/Taxi - Uber/PickMe,411.47,0.0,36090.37,reference-derived scenario
18742,MID,11,Van - Uber/PickMe,742.33,0.0,138260.03,reference-derived scenario
18743,LOW,16,Public transport + 2 Vans - Uber/PickMe,462.21,0.848,58427.31,reference-derived scenario
18744,MID,12,Van - Uber/PickMe,520.02,0.0,98438.21,reference-derived scenario
18745,LOW,18,Public transport + 2 Vans - Uber/PickMe,420.37,0.68,75509.69,reference-derived scenario
18746,HIGH,9,Public transport + Van - Uber/PickMe,254.61,0.926,15035.51,reference-derived scenario
18747,HIGH,2,Tuk/Taxi - Uber/PickMe,361.16,0.0,30763.31,reference-derived scenario
18748,MID,9,Van - Uber/PickMe,839.43,0.0,144047.47,reference-derived scenario
18749,HIGH,2,Van - Uber/PickMe,42.63,0.0,9198.15,reference-derived scenario
18750,MID,18,2 Vans - Uber/PickMe,504.76,0.0,165621.04,reference-derived scenario
18751,HIGH,14,2 Minivans - Uber/PickMe,637.53,0.0,163665.85,reference-derived scenario
18752,HIGH,5,Van - Uber/PickMe,135.54,0.0,27216.93,reference-derived scenario
18753,LOW,16,Public transport + 2 Vans - Uber/PickMe,327.92,0.527,75097.39,reference-derived scenario
18754,HIGH,13,Private driver + Van,61.08,0.0,11099.68,reference-derived scenario
18755,MID,16,2 Vans - Uber/PickMe,197.28,0.0,78767.78,reference-derived scenario
18756,MID,10,Public transport + Van - Uber/PickMe,531.5,0.393,68835.5,reference-derived scenario
18757,LOW,10,Public transport + Van - Uber/PickMe,285.14,0.674,27311.7,reference-derived scenario
18758,LOW,4,Public transport + Tuk/Taxi,499.84,0.41,32779.52,reference-derived scenario
18759,MID,3,Van - Uber/PickMe,103.01,0.0,19005.22,reference-derived scenario
18760,LOW,14,Public transport + 2 Minivans - Uber/PickMe,762.82,0.745,78518.53,reference-derived scenario
18761,LOW,1,Public transport + Tuk/Taxi,829.74,0.816,16337.82,reference-derived scenario
18762,MID,6,Van - Uber/PickMe,177.51,0.0,34684.75,reference-derived scenario
18763,MID,8,Public transport + Van - Uber/PickMe,344.69,0.363,48636.16,reference-derived scenario
18764,HIGH,4,Public transport + Minivan - Uber/PickMe,866.23,0.692,47466.17,reference-derived scenario
18765,LOW,12,Public transport + Van - Uber/PickMe,693.57,0.636,77317.44,reference-derived scenario
18766,HIGH,15,Private driver + Van,781.21,0.0,142086.8,reference-derived scenario
18767,HIGH,13,Public transport + Van - Uber/PickMe,248.75,0.498,30887.78,reference-derived scenario
18768,LOW,5,Public transport + Van - Uber/PickMe,902.26,0.799,46230.66,reference-derived scenario
18769,HIGH,13,Van - Uber/PickMe,195.71,0.0,33361.0,reference-derived scenario
18770,HIGH,20,Public transport + 2 Vans - Uber/PickMe,566.77,0.572,121362.78,reference-derived scenario
18771,LOW,10,Public transport + Van - Uber/PickMe,354.72,0.546,41916.16,reference-derived scenario
18772,LOW,17,Public transport + 2 Vans - Uber/PickMe,107.31,0.695,19112.26,reference-derived scenario
18773,LOW,9,Public transport + Van - Uber/PickMe,395.15,0.887,22699.5,reference-derived scenario
18774,HIGH,12,Van - Uber/PickMe,114.18,0.0,20779.05,reference-derived scenario
18775,MID,16,Public transport + 2 Vans - Uber/PickMe,936.28,0.458,213440.74,reference-derived scenario
18776,HIGH,14,Public transport + 2 Minivans - Uber/PickMe,613.27,0.523,90926.69,reference-derived scenario
18777,MID,18,Public transport + 2 Vans - Uber/PickMe,528.22,0.572,113070.28,reference-derived scenario
18778,HIGH,11,Public transport + Van - Uber/PickMe,494.36,0.883,31782.13,reference-derived scenario
18779,HIGH,1,Minivan - Uber/PickMe,76.42,0.0,9688.13,reference-derived scenario
18780,LOW,19,Public transport + 2 Vans - Uber/PickMe,395.0,0.399,93434.9,reference-derived scenario
18781,MID,20,2 Vans - Uber/PickMe,851.67,0.0,302490.31,reference-derived scenario
18782,LOW,15,Public transport + Van - Uber/PickMe,119.9,0.462,17740.44,reference-derived scenario
18783,MID,2,Van - Uber/PickMe,528.68,0.0,94961.88,reference-derived scenario
18784,MID,4,Van - Uber/PickMe,106.17,0.0,19526.87,reference-derived scenario
18785,MID,7,Public transport + Minivan - Uber/PickMe,643.47,0.459,49777.98,reference-derived scenario
18786,MID,4,Public transport + Minivan - Uber/PickMe,641.41,0.474,48271.11,reference-derived scenario
18787,MID,12,Public transport + Van - Uber/PickMe,402.07,0.821,30908.57,reference-derived scenario
18788,MID,15,Public transport + Van - Uber/PickMe,88.64,0.426,14061.53,reference-derived scenario
18789,LOW,16,Public transport + 2 Vans - Uber/PickMe,941.37,0.735,134119.45,reference-derived scenario
18790,MID,15,Public transport + Van - Uber/PickMe,663.81,0.398,85863.89,reference-derived scenario
18791,MID,14,2 Minivans - Uber/PickMe,841.81,0.0,189942.1,reference-derived scenario
18792,LOW,9,Public transport + Van - Uber/PickMe,257.18,0.936,13468.39,reference-derived scenario
18793,MID,7,Public transport + Minivan - Uber/PickMe,915.33,0.711,50916.79,reference-derived scenario
18794,MID,4,Public transport + Tuk/Taxi,779.01,0.472,45937.93,reference-derived scenario
18795,MID,18,Public transport + 2 Vans - Uber/PickMe,546.82,0.81,82552.65,reference-derived scenario
18796,LOW,5,Public transport + Van - Uber/PickMe,569.72,0.734,37641.47,reference-derived scenario
18797,MID,4,Public transport + Tuk/Taxi,41.69,0.697,2467.55,reference-derived scenario
18798,MID,8,Van - Uber/PickMe,583.89,0.0,99812.03,reference-derived scenario
18799,LOW,7,Public transport + Minivan - Uber/PickMe,442.19,0.384,37975.3,reference-derived scenario
18800,LOW,19,Public transport + 2 Vans - Uber/PickMe,145.73,0.598,34034.34,reference-derived scenario
18801,HIGH,20,2 Vans - Uber/PickMe,901.46,0.0,324602.18,reference-derived scenario
18802,MID,6,Public transport + Minivan - Uber/PickMe,893.21,0.592,63201.29,reference-derived scenario
18803,MID,18,2 Vans - Uber/PickMe,120.31,0.0,44078.59,reference-derived scenario
18804,LOW,13,Public transport + Van - Uber/PickMe,78.28,0.894,7528.85,reference-derived scenario
18805,LOW,9,Public transport + Van - Uber/PickMe,598.53,0.423,74264.42,reference-derived scenario
18806,MID,13,Public transport + Van - Uber/PickMe,570.96,0.519,68805.92,reference-derived scenario
18807,HIGH,2,Tuk/Taxi - Uber/PickMe,577.41,0.0,42964.78,reference-derived scenario
18808,HIGH,6,Private driver + Minivan,643.29,0.0,81279.14,reference-derived scenario
18809,HIGH,16,Private driver + 2 Vans,327.98,0.0,113618.78,reference-derived scenario
18810,LOW,10,Public transport + Van - Uber/PickMe,644.17,0.881,41699.71,reference-derived scenario
18811,LOW,17,Public transport + 2 Vans - Uber/PickMe,89.75,0.395,24334.12,reference-derived scenario
18812,LOW,7,Public transport + Van - Uber/PickMe,482.69,0.552,50996.68,reference-derived scenario
18813,MID,20,2 Vans - Uber/PickMe,931.7,0.0,322142.71,reference-derived scenario
18814,LOW,11,Public transport + Van - Uber/PickMe,688.18,0.829,55958.0,reference-derived scenario
18815,HIGH,18,Public transport + 2 Vans - Uber/PickMe,482.28,0.584,105760.75,reference-derived scenario
18816,MID,20,2 Vans - Uber/PickMe,175.97,0.0,61394.84,reference-derived scenario
18817,LOW,10,Public transport + Van - Uber/PickMe,847.08,0.485,103775.85,reference-derived scenario
18818,HIGH,6,Public transport + Minivan - Uber/PickMe,86.49,0.761,5300.24,reference-derived scenario
18819,LOW,3,Public transport + Minivan - Uber/PickMe,133.97,0.943,3227.35,reference-derived scenario
18820,MID,6,Van - Uber/PickMe,852.82,0.0,159804.52,reference-derived scenario
18821,LOW,19,Public transport + 2 Vans - Uber/PickMe,526.9,0.947,60182.63,reference-derived scenario
18822,LOW,2,Public transport + Minivan - Uber/PickMe,384.92,0.546,22433.9,reference-derived scenario
18823,HIGH,6,Van - Uber/PickMe,550.21,0.0,100517.67,reference-derived scenario
18824,MID,5,Public transport + Minivan - Uber/PickMe,23.76,0.616,2382.12,reference-derived scenario
18825,LOW,12,Public transport + Van - Uber/PickMe,309.12,0.467,35789.29,reference-derived scenario
18826,MID,20,Public transport + 2 Vans - Uber/PickMe,434.14,0.773,67817.11,reference-derived scenario
18827,MID,4,Minivan - Uber/PickMe,235.8,0.0,26989.59,reference-derived scenario
18828,LOW,10,Public transport + Van - Uber/PickMe,802.69,0.402,96666.34,reference-derived scenario
18829,MID,10,Van - Uber/PickMe,717.92,0.0,121134.33,reference-derived scenario
18830,LOW,19,Public transport + 2 Vans - Uber/PickMe,738.26,0.945,75598.41,reference-derived scenario
18831,HIGH,15,Van - Uber/PickMe,216.83,0.0,40278.43,reference-derived scenario
18832,LOW,1,Public transport + Tuk/Taxi,708.89,0.633,25193.7,reference-derived scenario
18833,LOW,11,Public transport + Van - Uber/PickMe,417.91,0.41,52118.06,reference-derived scenario
18834,MID,1,Public transport + Tuk/Taxi,381.92,0.491,16266.07,reference-derived scenario
18835,LOW,11,Public transport + Van - Uber/PickMe,729.53,0.918,47467.94,reference-derived scenario
18836,MID,18,Public transport + 2 Vans - Uber/PickMe,452.47,0.789,72369.11,reference-derived scenario
18837,LOW,13,Public transport + Van - Uber/PickMe,327.36,0.847,28259.62,reference-derived scenario
18838,LOW,14,Public transport + 2 Minivans - Uber/PickMe,320.47,0.376,56805.54,reference-derived scenario
18839,HIGH,8,Public transport + Van - Uber/PickMe,432.36,0.423,53863.68,reference-derived scenario
18840,MID,14,2 Minivans - Uber/PickMe,183.78,0.0,46268.18,reference-derived scenario
18841,HIGH,8,Van - Uber/PickMe,91.17,0.0,15939.12,reference-derived scenario
18842,MID,4,Public transport + Tuk/Taxi,256.56,0.671,12892.41,reference-derived scenario
18843,LOW,5,Public transport + Van - Uber/PickMe,581.73,0.787,36391.24,reference-derived scenario
18844,HIGH,3,Public transport + Tuk/Taxi,781.57,0.82,21949.55,reference-derived scenario
18845,LOW,19,Public transport + 2 Vans - Uber/PickMe,177.25,0.433,46763.84,reference-derived scenario
18846,LOW,8,Public transport + Van - Uber/PickMe,667.62,0.854,37056.3,reference-derived scenario
18847,HIGH,1,Public transport + Van - Uber/PickMe,679.24,0.389,69241.15,reference-derived scenario
18848,MID,1,Public transport + Van - Uber/PickMe,201.37,0.504,18868.89,reference-derived scenario
18849,LOW,11,Public transport + Van - Uber/PickMe,484.58,0.355,70810.78,reference-derived scenario
18850,HIGH,9,Van - Uber/PickMe,628.19,0.0,121529.41,reference-derived scenario
18851,LOW,15,Public transport + Van - Uber/PickMe,780.1,0.796,67490.79,reference-derived scenario
18852,MID,2,Tuk/Taxi - Uber/PickMe,741.85,0.0,60400.05,reference-derived scenario
18853,HIGH,20,Private driver + 2 Vans,800.81,0.0,292200.04,reference-derived scenario
18854,LOW,5,Public transport + Van - Uber/PickMe,815.1,0.612,73235.52,reference-derived scenario
18855,MID,5,Van - Uber/PickMe,889.54,0.0,159735.05,reference-derived scenario
18856,HIGH,16,Public transport + 2 Vans - Uber/PickMe,22.87,0.455,8919.25,reference-derived scenario
18857,HIGH,15,Public transport + Van - Uber/PickMe,566.87,0.809,48649.18,reference-derived scenario
18858,LOW,13,Public transport + Van - Uber/PickMe,497.82,0.433,61759.78,reference-derived scenario
18859,MID,19,Public transport + 2 Vans - Uber/PickMe,509.94,0.859,71797.31,reference-derived scenario
18860,LOW,4,Public transport + Minivan - Uber/PickMe,76.35,0.515,5604.18,reference-derived scenario
18861,MID,2,Minivan - Uber/PickMe,692.84,0.0,81857.95,reference-derived scenario
18862,HIGH,4,Public transport + Minivan - Uber/PickMe,6.31,0.82,1000.55,reference-derived scenario
18863,MID,3,Minivan - Uber/PickMe,119.03,0.0,13934.07,reference-derived scenario
18864,HIGH,1,Private driver + Car,713.95,0.0,99372.41,reference-derived scenario
18865,HIGH,12,Van - Uber/PickMe,104.9,0.0,18702.65,reference-derived scenario
18866,LOW,4,Public transport + Tuk/Taxi,27.65,0.916,1238.37,reference-derived scenario
18867,LOW,11,Public transport + Van - Uber/PickMe,619.22,0.926,37802.81,reference-derived scenario
18868,LOW,16,Public transport + 2 Vans - Uber/PickMe,354.76,0.71,58346.89,reference-derived scenario
18869,LOW,16,Public transport + 2 Vans - Uber/PickMe,615.21,0.72,105510.16,reference-derived scenario
18870,LOW,14,Public transport + 2 Minivans - Uber/PickMe,920.19,0.577,119724.38,reference-derived scenario
18871,HIGH,20,2 Vans - Uber/PickMe,937.37,0.0,348277.81,reference-derived scenario
18872,MID,7,Public transport + Van - Uber/PickMe,518.42,0.791,34742.17,reference-derived scenario
18873,MID,3,Public transport + Van - Uber/PickMe,327.3,0.554,31788.61,reference-derived scenario
18874,MID,5,Van - Uber/PickMe,671.19,0.0,117688.86,reference-derived scenario
18875,MID,14,Public transport + 2 Minivans - Uber/PickMe,432.94,0.641,55482.8,reference-derived scenario
18876,MID,6,Minivan - Uber/PickMe,52.06,0.0,6527.69,reference-derived scenario
18877,HIGH,11,Public transport + Van - Uber/PickMe,611.57,0.629,62768.5,reference-derived scenario
18878,HIGH,9,Van - Uber/PickMe,626.75,0.0,115554.71,reference-derived scenario
18879,LOW,5,Public transport + Minivan - Uber/PickMe,107.65,0.893,4344.52,reference-derived scenario
18880,LOW,4,Public transport + Tuk/Taxi,264.57,0.431,17815.33,reference-derived scenario
18881,LOW,19,Public transport + 2 Vans - Uber/PickMe,240.85,0.364,61198.02,reference-derived scenario
18882,MID,13,Public transport + Van - Uber/PickMe,916.13,0.623,92853.88,reference-derived scenario
18883,MID,19,2 Vans - Uber/PickMe,721.87,0.0,262643.82,reference-derived scenario
18884,MID,17,Public transport + 2 Vans - Uber/PickMe,214.88,0.897,25655.23,reference-derived scenario
18885,LOW,14,Public transport + 2 Minivans - Uber/PickMe,133.03,0.94,11037.03,reference-derived scenario
18886,HIGH,19,Private driver + 2 Vans,635.62,0.0,242179.23,reference-derived scenario
18887,MID,15,Public transport + Van - Uber/PickMe,871.31,0.774,85205.65,reference-derived scenario
18888,LOW,1,Public transport + Van - Uber/PickMe,224.42,0.359,27716.13,reference-derived scenario
18889,LOW,11,Public transport + Van - Uber/PickMe,129.64,0.434,18792.38,reference-derived scenario
18890,MID,6,Public transport + Van - Uber/PickMe,508.22,0.473,58372.62,reference-derived scenario
18891,LOW,6,Public transport + Van - Uber/PickMe,710.02,0.945,25390.87,reference-derived scenario
18892,MID,12,Van - Uber/PickMe,290.36,0.0,50139.28,reference-derived scenario
18893,HIGH,19,2 Vans - Uber/PickMe,393.33,0.0,130795.33,reference-derived scenario
18894,HIGH,19,Private driver + 2 Vans,338.37,0.0,110222.8,reference-derived scenario
18895,HIGH,7,Private driver + Minivan,180.09,0.0,21605.01,reference-derived scenario
18896,LOW,4,Public transport + Minivan - Uber/PickMe,382.53,0.714,18551.31,reference-derived scenario
18897,LOW,20,Public transport + 2 Vans - Uber/PickMe,882.37,0.882,107772.48,reference-derived scenario
18898,LOW,1,Public transport + Van - Uber/PickMe,22.54,0.681,2506.02,reference-derived scenario
18899,HIGH,14,2 Minivans - Uber/PickMe,914.73,0.0,218884.47,reference-derived scenario
18900,HIGH,20,Private driver + 2 Vans,581.86,0.0,191471.65,reference-derived scenario
18901,LOW,6,Public transport + Minivan - Uber/PickMe,462.69,0.598,33386.47,reference-derived scenario
18902,LOW,1,Public transport + Van - Uber/PickMe,337.46,0.791,14705.52,reference-derived scenario
18903,LOW,18,Public transport + 2 Vans - Uber/PickMe,25.07,0.877,6329.74,reference-derived scenario
18904,MID,2,Tuk/Taxi - Uber/PickMe,629.07,0.0,48457.23,reference-derived scenario
18905,MID,5,Public transport + Van - Uber/PickMe,49.68,0.776,4018.15,reference-derived scenario
18906,LOW,13,Public transport + Van - Uber/PickMe,708.01,0.441,86260.44,reference-derived scenario
18907,MID,9,Public transport + Van - Uber/PickMe,841.02,0.75,70382.02,reference-derived scenario
18908,MID,17,Public transport + 2 Vans - Uber/PickMe,80.07,0.602,17266.29,reference-derived scenario
18909,LOW,13,Public transport + Van - Uber/PickMe,327.49,0.548,40816.04,reference-derived scenario
18910,MID,15,Van - Uber/PickMe,444.74,0.0,76890.73,reference-derived scenario
18911,LOW,12,Public transport + Van - Uber/PickMe,68.8,0.651,9026.22,reference-derived scenario
18912,MID,16,Public transport + 2 Vans - Uber/PickMe,565.26,0.752,90523.49,reference-derived scenario
18913,MID,2,Minivan - Uber/PickMe,226.48,0.0,30536.84,reference-derived scenario
18914,MID,17,Public transport + 2 Vans - Uber/PickMe,326.9,0.898,40096.17,reference-derived scenario
18915,MID,10,Public transport + Van - Uber/PickMe,531.99,0.658,53817.45,reference-derived scenario
18916,MID,16,2 Vans - Uber/PickMe,723.59,0.0,264565.47,reference-derived scenario
18917,LOW,4,Public transport + Van - Uber/PickMe,85.87,0.893,4229.66,reference-derived scenario
18918,LOW,3,Public transport + Tuk/Taxi,871.51,0.446,41022.56,reference-derived scenario
18919,HIGH,20,Public transport + 2 Vans - Uber/PickMe,509.65,0.855,75538.21,reference-derived scenario
18920,LOW,2,Public transport + Tuk/Taxi,185.03,0.602,6604.79,reference-derived scenario
18921,LOW,17,Public transport + 2 Vans - Uber/PickMe,928.23,0.835,121872.92,reference-derived scenario
18922,LOW,6,Public transport + Van - Uber/PickMe,416.49,0.9,17682.92,reference-derived scenario
18923,MID,19,2 Vans - Uber/PickMe,926.24,0.0,322954.26,reference-derived scenario
18924,MID,2,Public transport + Van - Uber/PickMe,618.93,0.558,48599.33,reference-derived scenario
18925,MID,2,Public transport + Van - Uber/PickMe,382.56,0.556,31319.15,reference-derived scenario
18926,LOW,13,Public transport + Van - Uber/PickMe,423.27,0.876,35653.25,reference-derived scenario
18927,LOW,12,Public transport + Van - Uber/PickMe,851.24,0.942,59853.44,reference-derived scenario
18928,MID,4,Minivan - Uber/PickMe,522.64,0.0,65651.01,reference-derived scenario
18929,HIGH,13,Public transport + Van - Uber/PickMe,274.88,0.772,23628.29,reference-derived scenario
18930,LOW,2,Public transport + Tuk/Taxi,27.27,0.734,966.2,reference-derived scenario
18931,MID,16,2 Vans - Uber/PickMe,634.13,0.0,244303.43,reference-derived scenario
18932,HIGH,19,2 Vans - Uber/PickMe,601.55,0.0,207092.89,reference-derived scenario
18933,MID,10,Public transport + Van - Uber/PickMe,470.0,0.509,50985.71,reference-derived scenario
18934,MID,11,Public transport + Van - Uber/PickMe,775.49,0.498,91008.14,reference-derived scenario
18935,MID,17,2 Vans - Uber/PickMe,267.27,0.0,93246.0,reference-derived scenario
18936,MID,12,Public transport + Van - Uber/PickMe,238.81,0.867,20517.6,reference-derived scenario
18937,MID,16,Public transport + 2 Vans - Uber/PickMe,287.66,0.678,52283.4,reference-derived scenario
18938,LOW,13,Public transport + Van - Uber/PickMe,147.78,0.942,12608.56,reference-derived scenario
18939,MID,1,Public transport + Tuk/Taxi,499.21,0.946,4684.0,reference-derived scenario
18940,MID,6,Minivan - Uber/PickMe,62.42,0.0,8625.92,reference-derived scenario
18941,LOW,5,Public transport + Van - Uber/PickMe,635.22,0.397,71860.87,reference-derived scenario
18942,LOW,8,Public transport + Van - Uber/PickMe,590.78,0.949,25390.88,reference-derived scenario
18943,MID,1,Tuk/Taxi - Uber/PickMe,773.76,0.0,61061.13,reference-derived scenario
18944,MID,5,Minivan - Uber/PickMe,198.03,0.0,24846.32,reference-derived scenario
18945,MID,16,Public transport + 2 Vans - Uber/PickMe,10.64,0.513,5734.76,reference-derived scenario
18946,MID,6,Public transport + Van - Uber/PickMe,15.88,0.84,2173.16,reference-derived scenario
